,Cost,Mfr Dt Fz,Product,Contract Cust Id,Contract Dt,Contract Expiration Dt,Nbv,Billing Status Fz,Top1Lessee,Top3Lessees,MfrAge,ExpYear
5447,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.57,9.86
17624,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
6088,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.73,9.86
1552,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.84,ON,0,1,4.77,7.36
15607,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
11364,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4155.25,ON,0,1,1.5,6.65
12729,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
3311,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.31,ON,1,1,4.57,9.86
9817,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
6185,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.73,9.86
9161,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.96,ON,1,1,1.43,6.77
2273,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.832,ON,0,1,4.77,7.36
10324,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
3894,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.312,ON,1,1,4.57,9.86
29499,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.489,ON,0,1,4.73,7.36
22655,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.0,ON,0,1,4.51,4.06
6572,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.009,ON,1,1,4.73,9.86
10433,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
23247,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.078,ON,0,1,4.51,4.06
5429,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.57,9.86
25693,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1900.26,ON,0,1,4.51,4.06
1500,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.838,ON,0,1,4.77,7.36
